list,,headword,nonprimary sense,number,lemma,pronunciation,nonstandard_variant,variants,word_class,class_added_manually,type,spoken_words,language_origin,domain,definition,info,example_sentence,etymology,derivative_forms,multi-word_forms,proverb,idiom,definition_type_1,definition_type_2
,,suweng,,,,,,,noun,,,,Minahasa,,sumbu pelita yang digunakan untuk mengukur rentang waktu bagi orang-orang yang bekerja bergotong-royong,,,,,,,,Analitical,
,,suwung,,,,,,,adjective,,,,Jawa,,kosong,,,,,,,,Synonym,
,,swamedikasi,,,,,,,noun,,,,,,pengobatan mandiri,,,,,,,,Synonym,
,,swasti saba,,,,,,,noun,,,,,,penghargaan pemerintah yang diberikan kepada pemerintah daerah atas keberhasilan memasyarakatkan pola hidup sehat yang diikuti dengan kepedulian warga untuk meningkatkan status dan derajat kesehatannya,,,,,,,,Analitical,
,,syalom,,,,,,,noun,,,,,Agama Kristen,salam damai (diucapkan saat bertemu atau berpisah dengan orang lain),,"sampai jumpa lagi, --",,,,,,Synonym,Analitical
,,syoyu,,,,,,,noun,,,,,,"kecap khas Jepang yang murni terbuat dari fermentasi kedelai, memiliki rasa sedikit asin dan rasa kedelai yang kuat, biasanya digunakan sebagai cocolan makanan seperti susyi dan sasyimi",,,,,,,,Analitical,
,,ta,,,,,,,noun,,abbreviation,,,,tugas akhir,,,,,,,,Abbreviation Expansion,
,,tablo,yes,2,,,,,noun,,,,Sunda,,domba berbulu kuning kemerahan,,,,,,,,Analitical,
,,tabung linen,,,tabung,,,,noun,yes,,,,Perhotelan,saluran pipa besar tempat menyalurkan linen dari setiap lantai ke penatu,,,,,,,,Analitical,
,,tacincang,,,,,,,noun,,,,Melayu Jambi,,pembunuhan yang dilakukan tanpa sengaja,,,,,,,,Analitical,
,,taco,,,,,,,noun,,,,Spanyol,,"penganan khas Meksiko berupa panekuk jagung goreng tanpa ragi atau tortila yang diisi dengan daging cincang berbumbu, keju, kacang-kacangan, dan lain-lain",,,,,,,,Analitical,
,,tahu aci,,,tahu (2),,,,noun,yes,,,,,penganan khas Tegal yang terbuat dari tahu kuning yang dipotong melintang berisi adonan tepung tapioka dan bumbu lainnya kemudian digoreng hingga garing,,,,,,,,Analitical,
,,tahutu,,,,,,,noun,,,,Dayak,,"ujung atap bagian bawah (pada rumah, pondok, dan sebagainya)",,kucuran air terlihat jelas di -- rumahku ketika hujan turun,,,,,,Analitical,
,,taingan,,,,,,,noun,,,,Minahasa Tonsawang,,bagian dapur yang dibuat agak tinggi tempat meletakkan tungku,,,,,,,,Analitical,
,,tajap,,,,,,,verb,,,,Batak,,potong miring (tentang sayuran),,wortel itu di-- agar terlihat lebih cantik,,,,,,Analitical,
,,takah,yes,2,,,,,noun,,acronym,,,,tata naskah,,,,,,,,Abbreviation Expansion,
,,tako,,,,,,,noun,,,,,,"tortila goreng yang dilipat atau digulung dan diber isian berupa campuran daging, keju, dan selada",,,,,,,,Analitical,
,,taksi,yes,2,,,,,verb,,,,,Penerbangan,bergerak lambat di sepanjang rute yang disediakan sebelum lepas landas atau setelah mendarat (tentang pesawat),,,,,,,,Analitical,
,,tali jemuran,,,tali (1),,,,noun,yes,,,,,tali yang digunakan sebagai tempat menggantung pakaian yang dijemur,,,,,,,,Analitical,
,,tali kasta,,,tali (1),,,,noun,yes,,,,,upawita,,,,,,,,Synonym,
,,talngah,,,,,,,adjective,,,,Batak,,terbuka lebar (tentang pintu),,,,,,,,Analitical,
,,talun,yes,2,,,,,noun,,,,Sunda,,lahan yang ditanami aneka tanaman keras,,,,,,,,Analitical,
,,tamra,,,,,,,noun,,,,,,prasasti yang ditulis pada logam,,,,,,,,Analitical,
,,tanatologi,,,,,,,noun,,,,,,ilmu tentang penyebab dan fenomena kematian,,,,,,,,Analitical,
,,tangar,yes,2,,,,,adjective,,,,Batak,,lebar (tentang mulut periuk),,periuk -- itu sudah dijadikan pot bunga,,,,,,Analitical,
,,tanggap warsa,,,,,,,verb,yes,,,Jawa,,ulang tahun,,,,,,,,Synonym,
,,tapahosut,,,,,,,noun,,,,,,orang yang pekerjaannya membuat sagu,,kakekku sangat terkenal di desa sebagai --,,,,,,Analitical,
,,tapas,yes,3,,,,,noun,,,,,,"camilan porsi kecil ala Spanyol, biasanya disajikan bersama minuman",,,,,,,,Analitical,
,,taraf hidup,,,taraf,,,,noun,yes,,,,,standar tingkat kemakmuran rata-rata yang dipandang minimal harus terpenuhi agar dapat hidup layak dalam masyarakat,,,,,,,,Analitical,
,,taratulit,,,,,,,noun,,,,,,"herba epifit dengan bentuk memanjang sekitar 20 m, batang tipis berwarna hijau dan cokelat, percabangan menggarpu, daun pucat hijau kekuningan dan melingkar sepanjang sumbu batang, ditanam sebagai tanaman hias dan obat-obatan",〔Huperzia squarrosa〕,,,,,,,Analitical,
,,tarengteng,,,,,,,noun,,,,Sunda,,bambu atau kayu berlapis kain untuk memainkan celempung,,,,,,,,Analitical,
,,tarik edar,,,tarik,,,,noun,yes,,,,Ilmu Perpustakaan dan Dokumentasi,"penarikan buku dari peredaran perpustakaan karena sudah melewati masa edar, rusak, atau kotor",,,,,,,,Analitical,
,,tarlet,,,,,,,noun,,,,,,kue tar kecil,,,,,,,,Analitical,
,,tatombom,,,,,,,verb,,,,Melayu Medan,,jatuh terduduk,,adik menangis karena -- di belakang rumah,,,,,,Analitical,
,,taubah,,,,,,,noun,,,,,Agama Islam,surah ke-9 dalam Al-Qur'an (diawali dengan at-),,,,,,,,Analitical,
,,taubu,,,,,,,noun,,,,Gorontalo,,balok penyangga rumah panggung,,,,,,,,Analitical,
,,tausa,,,,,,,noun,,,,Cina,,"pasta kacang hijau atau kacang merah yang rasanya manis, biasa digunakan sebagai isian onde-onde dan kue bulan",,,,,,,,Analitical,
,,tb,yes,2,,,,,noun,,abbreviation,,,,tuberkulosis,,,,,,,,Abbreviation Expansion,
,,tedas,yes,3,,/têdas/,,,noun,yes,,,,,mampu menggigit (tentang gigi),,,,,,,,Analitical,
,,teh poci,,,teh,,,,noun,yes,,,,,teh yang diseduh secara khas pada poci dan cangkir yang terbuat dari tanah liat,,,,,,,,Analitical,
,,teh susu,,,teh,,,,noun,yes,,,,,teh yang dicampur dengan susu atau krim,,,,,,,,Analitical,
,,tehyan,,,,,,,noun,,,,,,alat musik gesek bersenar dua dengan batok resonator agak besar yang menghasilkan nada tengah,,,,,,,,Analitical,
,,tekbal,,,,,,,noun,,,,,,olahraga paduan antara tenis meja dan sepak bola,,,,,,,,Analitical,
,,telepon umum,,,telepon,,,,noun,yes,,,,,telepon yang ditempatkan di tempat umum dan dapat digunakan dengan memasukkan koin atau kode dari kartu telepon,,,,,,,,Analitical,
,televisi pintar,televisi pintar,,,televisi,,,,noun,yes,,,,,"televisi yang menggabungkan kemampuan televisi, komputer, dan multimedia dengan  koneksi internet",,,,,,,,Analitical,
,,telur orak-arik,,,telur,,,,noun,yes,,,,,"lauk, dibuat dari telur kocok, dimasak dengan minyak atau mentega, kemudian diorak-arik hingga matang, biasanya disajikan dengan taburan garam dan lada hitam",,,,,,,,Analitical,
,,telur paskah,,,telur,,,,noun,yes,,,,,"telur yang dilukis dengan beragam warna, sering kali juga diberi hiasan, dibuat saat perayaan Paskah",,,,,,,,Analitical,
,,teluto,,,,/tê.lu.to/,,,noun,,,,,,noda pada pakaian yang disebabkan oleh getah tumbuh-tumbuhan,,,,,,,,Analitical,
,,tembawai,,,,/têmbawai/,,,noun,,,,Dayak,,hutan bekas tempat rumah panjang,,tolong -- itu kau bersihkan agar sedikit lapang,,,,,,Analitical,
,,tempe bacem,,,tempe,,,,noun,yes,,,,,tempe yang dimasak dengan cara dibacem,,,,,,,,Analitical,
,,tempe sagu,,,tempe,,,,noun,yes,,,,,"keripik yang dibuat dari kedelai, sagu, dan ragi yang difermentasi menjadi tempe, diiris tipis, dicelupkan dalam bumbu garam dan kaldu lalu digoreng, berekstur renyah dan memiliki rasa asin gurih",,,,,,,,Analitical,
,,tentari,,,,/têntari/,,,noun,,,,Sangir,,"kata tabu bagi nelayan di tengah laut dan jika diucapkan, dipercaya bahwa nelayan tersebut akan dimakan oleh ikan hiu",,,,,,,,Analitical,
,,terbodoh,,,bodoh,,,,adjective,,,,,,paling bodoh,,hal ~ yang pernah aku alami adalah menggunting poni sangat pendek,,,,,,Analitical,
,,terbuas,,,buas,,,,adjective,,,,,,paling buas,,hiu adalah predator ~ di laut,,,,,,Analitical,
,,tercerewet,,,cerewet,,,,adjective,,,,,,paling cerewet,,kau adalah orang ~ yang pernah kutemui,,,,,,Analitical,
,,terceroboh,,,ceroboh,,,,adjective,,,,,,paling ceroboh,,tertipu dalam urusan uang adalah hal ~ yang pernah kualami,,,,,,Analitical,
,,tercitra,,,citra,,,,verb,,,,,,sudah dicitrakan,,perilakunya ~ baik,,,,,,Analitical,
,,terdefinisikan,,,definisi,,,,verb,,,,,,sudah didefinisikan,,maksud dan tujuan kegiatan tersebut ~ dengan jelas dalam proposal,,,,,,Analitical,
,,terdefinisikan,,,definisi,,,,verb,,,,,,dapat didefinisikan,,rasa sakitnya tak ~,,,,,,Analitical,
,,teredukasi,,,edukasi,,,,verb,,,,,,sudah diedukasi,,tertibnya lalu lintas menjadi salah satu ciri bahwa pengguna jalan ~ dengan baik,,,,,,Analitical,
,,terfasilitasi,,,fasilitas,,,,verb,,,,,,sudah difasilitasi,,puluhan titik di daerah tersebut ~ internet gratis,,,,,,Analitical,
,,terfasilitasi,,,fasilitas,,,,verb,,,,,,dapat difasilitasi,,"melalui program tersebut, banyak masyarakat ~ akses kesehatannya",,,,,,Analitical,
,,terformulasikan,,,formulasi,,,,verb,,,,,,sudah diformulasikan,,"menurut penelitian, ASI dapat meningkatkan sistem kekebalan bayi karena ~ dengan unik",,,,,,Analitical,
,,terformulasikan,,,formulasi,,,,verb,,,,,,dapat diformulasikan,,visi dan misi perusahaan ~ dalam slogan tersebut,,,,,,Analitical,
,,tergombal,,,gombal (2),,,,adjective,,,yes,,,paling gombal; paling manis dan berlebihan (tentang rayuan),,itu adalah rayuan ~ yang pernah kudengar,,,,,,Analitical,
,,tergombal,,,gombal (2),,,,adjective,,,yes,,,paling pandai atau paling gemar menggombal,,dia memang orang ~ di dunia,,,,,,Analitical,
,,tergunting,,,gunting,,,,verb,,,,,,sudah digunting,,,,,,,,Analitical,
,,tergunting,,,gunting,,,,verb,,,,,,tidak sengaja digunting,,,,,,,,Analitical,
,,terhangat,,,hangat,,,,adjective,,,,,,paling hangat,,suhu hari ini adalah suhu ~ tahun ini,,,,,,Analitical,
,,terhangat,,,hangat,,,,adjective,,idiomatic expression,,,,terbaru; terkini,,ini adalah kabar ~ di pagi ini,,,,,,Synonym,
,,terhangat,,,hangat,,,,adjective,,idiomatic expression,,,,paling banyak dibicarakan,,kasus ini menjadi topik ~ di tengah masyarakat sejak minggu lalu,,,,,,Analitical,
,,terjahit,,,jahit,,,,verb,,,,,,sudah dijahit,,dia keluar dari rumah sakit dengan luka ~,,,,,,Analitical,
,,terjahit,,,jahit,,,,verb,,idiomatic expression,,,,menyatu,,Merah Putih ~ di hati dan jiwa masyarakat Indonesia,,,,,,Synonym,
,,terjahit,,,jahit,,,,verb,,,,,,sudah dijahit,,saku ~ di bagian kanan dan kiri jaket,,,,,,Analitical,
,,termakan akal,,,"makan (1), termakan",,,,verb,yes,idiomatic expression,,,,masuk akal; logis,,,,,,,,Analitical,Synonym
,,terminator,,,,,,,noun,,,,,,garis yang memisahkan cahaya siang dan malam dilihat dari atas permukaan bumi,,,,,,,,Analitical,
,,terminus,,,,,,,noun,,,,,,stasiun awal dan akhir pada suatu jalur kereta,,,,,,,,Analitical,
,,terpantik,,,pantik (1),,,,verb,,,,,,sudah dipantik; tergerak,,hatinya ~ setelah membaca berita tersebut,,,,,,Analitical,Synonym
,,tertuntut,,,tuntut,,,,verb,,,,,,sudah dituntut,,,,,,,,Analitical,
