list,,headword,nonprimary sense,number,lemma,pronunciation,nonstandard_variant,variants,word_class,class_added_manually,type,spoken_words,language_origin,domain,definition,info,example_sentence,etymology,derivative_forms,multi-word_forms,proverb,idiom,definition_type_1,definition_type_2
abrag,,-ku,,,,,,,affix,yes,,,,,(dari aku) pemilik,,rumahku; sepedaku,,,,,,Other,
abrahmacariya veramani sikhapadam samadiyami,,-ku,,,,,,,affix,yes,,,,,(dari aku) tujuan,,memukulku; menghampiriku,,,,,,Other,
abubu,,a.k.b.,yes,2,,,,,noun,,abbreviation,,,,angka kematian bayi,,,,,,,,Abbreviation Expansion,
Abuja,,abanat,,,,,,,verb,,,,Gane,,menghalangi orang yang lewat dengan cara berdiri sambil merentangkan tangan,,,,,,,,Analitical,
abukajung,,abrag,,,,,,,noun,,,,Jawa,,perkakas dalam rumah tangga,,sepasang pengantin baru itu belum memiliki --,,,,,,Analitical,
AC,,abrahmacariya veramani sikhapadam samadiyami,,,,,,,adjective,yes,figurative,,Sanskerta,,bertekad untuk melatih diri menghindari perbuatan asusila dalam agama Buddha,,,,,,,,Analitical,
acakadul,,abrosia,,,,,,,noun,,,,,,kekurangan makan,,,,,,,,Synonym,
adan,,abubu,,,,,,,noun,,,,Modole,,kayu yang sudah lapuk,,,,,,,,Analitical,
"adat bak poteumeureuhom, hukom bak syiah kuala, qanun bank putro phang, reusam bak laksamana",,abuja,,,,,,,noun,,,,,,ibu kota negara Nigeria,,,,,,,,Analitical,
adijana,,abukajung,,,,,,,noun,,,,Bugis,,perlakuan sewenang-wenang terhadap seseorang sebagai pelampiasan,,,,,,,,Analitical,
afkiran,,ac,yes,2,,,,,noun,,,,,,sebelum Masehi; SM; ante Christum,,,,,,,,Abbreviation Expansion,Synonym
ahkana,,acakadul,,,,,,,adjective,,,yes,,,sembarangan; tidak tertata; berantakan; acakadut,,,,,,,,Synonym,
ahli ginekologi,,adan,,,,,,,noun,,,,Kei,,buah kelapa kering yang kulit luarnya berwarna cokelat,,,,,,,,Analitical,
aitolida,,"adat bak poteumeureuhom, hukom bak syiah kuala, qanun bank putro phang, reusam bak laksamana",,,,,,,phrase,yes,figurative,,Aceh,,hukum adat berada di tangan pemerintah dan hukum syariat ada di tangan ulama,,,,,,,,Analitical,
aitolida,aitolida,adijana,,,,,,,noun,,,,,,manusia super; adimanusia,,,,,,,,Synonym,
akalasia,,adiyuga,,,,,,,noun,,,,,Agama Hindu,zaman pertama dari empat zaman dunia: kertayuga; satyayuga,,kertayuga; satyayuga,,,,,,Analitical,Synonym
akamsi,,afkiran,,,afkir,,,,noun,,,,,,barang yang sudah tidak dapat dipakai,,sebagian kayu ~ masih dapat dimanfaatkan,,,,,,Analitical,
akik garnet,,aga,yes,3,,,,,verb,,,,Wolio,,memandang dengan maksud mentertawai atau menantang,,"sebelum bertengkar, kakak -- adik",,,,,,Analitical,
akses terbatas,,ahkana,,,,,,,verb,,,,Papua,,membagi hasil panen untuk membantu orang yang tidak berkebun karena lumpuh,,,,,,,,Analitical,
akuisisi arsip,,ahli ginekologi,,,ahli (2),,,,noun,yes,,,,,ginekolog,,,,,,,,Synonym,
alam dunia,,ahosi kamma,,,,,,,noun,yes,figurative,,Sanskerta,,karma yang tidak sempat berbuah karena telah kehabisan waktu atau kehilangan kesempatan untuk berbuah (tentang ganjaran yang tidak pernah diterima dalam agama Buddha),,,,,,,,Analitical,
alam rendah,,ahuite,,,,,,,noun,,,,Yalahatan,,ruas bambu yang digunakan sebagai wadah untuk memasak,,,,,,,,Analitical,
alimbuane,,air limbah perkotaan,,,air,,,,noun,yes,,,,,"air limbah yang berasal dari kawasan perkotaan, seperti perumahan, perkantoran, pertokoan, industri",,,,,,,,Analitical,
aloi,,aitolida,,,,,,,noun,,,,Ciacia,,sebutan bagi adik sepupu,,,,,,,,Analitical,
ambat,,akalasia,,,,,,,noun,,,,,,"kesulitan menelan karena gangguan pada otot kerongkongan, shg makanan sulit didorong ke dalam lambung",,,,,,,,Analitical,Encyclopedic
ambeg pratama,,akamsi,,,,,,,noun,,acronym,yes,,,anak kampung sini; sebutan untuk orang yang berasal dari sebuah kampung atau sesuai dengan daerah asal orang tersebut,,,,,,,,Analitical,Synonym
amber,,akar ipoh putih,,,akar,,,,noun,yes,,,,,"liana yang batangnya bergetah putih, rantingnya memiliki kait-kait yang keras, daun berbentuk bulat telur meruncing dengan tepi sedikit bergigi, bunga berwarna putih dan cokelat kemerahan, buah berwarna kuning dan merah, getah dari batangnya sangat beracun dan digunakan masyarakat dalam peperangan tradisional antarsuku sebagai campuran racun pada panah",〔Hugonia griffithiana〕,,,,,,,Analitical,
analisis bahaya,,aki,,,,,,,noun,,abbreviation,,,,angka kematian ibu,,,,,,,,Abbreviation Expansion,
Andes,,akik garnet,,,akik,,,,noun,yes,,,,,"batuan alam yang bentuknya indah, beraneka warna, biasa digunakan untuk batuan permata",,,,,,,,Analitical,
andong,,akra,,,,,,,noun,,,,,,ibu kota negara Ghana,,,,,,,,Analitical,
andu,,akses arsip,,,akses,,,,noun,yes,,,,Ilmu Perpustakaan dan Dokumentasi,ketersediaan arsip sebagai hasil dari kewenangan hukum dan otorisasi legal serta keberadaan sarana bantu untuk mempermudah penemuan dan pemanfaatan arsip,,,,,,,,Analitical,
anestesian,,akses terbatas,,,akses,,,,noun,yes,,,,,"akses yang tidak ada atau sedikit karena adanya penghalang, jalan samping, dan sebagainya",,,,,,,,Analitical,
aneurisme otak,,akuisisi arsip,,,akuisisi,,,,noun,yes,,,,Ilmu Perpustakaan dan Dokumentasi,"penambahan khazanah arsip statis pada lembaga kearsipan yang dilaksanakan melalui kegiatan penyerahan arsip statis dan hak pengelolaannya dari pencipta
arsip kepada lembaga kearsipan",,,,,,,,Analitical,
anggai,,alam dunia,,,alam (1),,,,noun,yes,,,,,alam fana,,,,,,,,Synonym,
anggir,,alam rendah,,,alam (1),,,,noun,yes,,,,Agama Buddha,apaya (tentang ajaran agama Buddha mengenai kehidupan yang sengsara),,,,,,,,Synonym,Analitical
anggur laut,,alimbuane,,,,/alimbuanê/,,,noun,,,,Nias,,mabuk karena makan sirih yang terlalu banyak pinangnya,,aku melihatnya muntah karena --,,,,,,Analitical,
angkruk,,aloi,yes,2,,,,,noun,,,,Passer,,orang yang tidak pernah menikah atau tidak mau menikah,,,,,,,,Analitical,
anjali,,ambat,yes,2,,,,,noun,,,,Melayu Jambi,,"perangkap ikan di sungai yang terbuat dari bambu yang dijalin rapat dengan rotan, ditancapkan di dasar sungai, tingginya harus melebihi permukaan air sungai",,,,,,,,Analitical,
antares,,ambeg pratama,,,,,,,noun,yes,figurative,,Jawa,,"dapat memilih hal yang harus didahulukan, salah satu asas kepemimpinan dalam TNI",,,,,,,,Analitical,
Anus,,amber,yes,3,,,,,noun,yes,,,,,→ batu,,,,,,,,Cross-reference,
anuttaram puññakkhetam lokassāti,,ambil marah,,,ambil,,,,noun,yes,,yes,,,marah,,,,,,,,Synonym,
apan-apan,,amfetamin,,,,,,,noun,yes,,,,,→ amfetamina,,,,,,,,Cross-reference,
aparapara vedaniya kamma,,amnesia retrograd,,,amnesia,,,,noun,yes,,,,Psikologi,ketakmampuan mengingat kejadian yang terjadi sebelum cedera otak atau kejadian traumatis,,,,,,,,Analitical,
apatate,,amonium nitrat,,,amonium,,,,noun,yes,,,,Kimia,"senyawa kimia yang berupa padatan kristal putih, sangat larut dalam air, digunakan dalam pertanian sebagai pupuk",〈NH4NO3〉,,,,,,,Analitical,
apayamuka,,anak potong,,,anak,,,,noun,yes,idiomatic expression,,,,anak-anak yang berutang pada dan dilacurkan oleh muncikari serta diputuskan hubungan dengan orang tuanya,,,,,,,,Analitical,
apdenak,,analisis bahaya,,,analisis,,,,noun,yes,,,,,"analisis untuk mengidentifikasi bahan yang berpotensi bahaya pada proses penyimpanan, pengemasan, proses kritis, dan faktor manusia yang dapat memengaruhi keamanan atau kualitas produk",,,,,,,,Analitical,
apelium,,andes,,,,,,,noun,,,,,,pegunungan Amerika Selatan yang membentang di sepanjang pantai barat dari Panama ke Tierra del Fuego,,,,,,,,Analitical,
arama,,andong,yes,3,,,,,noun,,,,Jawa,,"pohon yang tingginya mencapai 37 m, daun elips bertulang tiga, bunga berwarna putih, merah muda, hingga kuning, buah berwarna merah muda dan dapat dimakan, daun digunakan sebagai obat, kayu digunakan untuk bahan bangunan, kulit kayu digunakan sebagai pewarna; tempoyan",〔Rhodamnia cinerea〕,,,,,,,Analitical,Synonym
ardang,,andu,,,,,,,verb,,,,Muna,,mengurut perut untuk memperbaiki letak janin,,paraji -- ibu saat hamil 9 bulan,,,,,,Analitical,
area hijau,,anestesian,,,,,,,noun,,,,,Kedokteran dan Fisiologi,bahan untuk memproduksi anestetik,,,,,,,,Analitical,
arena remaja,,aneurisme otak,,,aneurisme,,,,noun,yes,,,,Anatomi,kondisi menggelembungnya pembuluh darah di otak seperti balon akibat melemahnya dinding pembuluh darah di suatu titik tertentu; aneurisme selebral,,,,,,,,Analitical,Synonym
arirang,,anggai,yes,2,,,,,adjective,,,,Muna,,"retak kecil (tentang piring, dan sebagainya)",,,,,,,,Synonym,Analitical
arnis,,anggir,,,,,,,noun,,,,Batak,,jeruk purut,,,,,,,,Synonym,
arsakal,,anggur laut,,,anggur (3),,,,noun,yes,,,,,"tanaman dengan tinggi yang bervariasi mengikuti lingkungannya, dapat berupa semak dengan tinggi mencapai hanya 1 m dalam lingkungan terbuka, sementara di tanah berkondisi baik dan terlindung tingginya dapat hingga 15 m dan berdiameter hingga 40 cm, berhabitat di daerah pesisir, ditemukan di Amerika tropis dan Karibia, biasa dimanfaatkan sebagai makanan, obat-obatan, tanaman hias, sumber kayu untuk membuat perabotan, dan pagar tanaman di wilayah laut",〔Coccoloba uvifera〕,,,,,,,Analitical,Encyclopedic
arus rabak,,angki,yes,2,,,,,adjective,,,,Muna,,tua dan keras (tentang jagung),,,,,,,,Synonym,Analitical
Asada,,angkruk,yes,2,,,,,noun,,,,Sunda,,kembang jeruk,,,,,,,,Synonym,
asahehe,anuttaram puÃ±Ã±akkhetam lokassÄti,animin,,,,,,,verb,,,,Boing,,meminta air untuk minum,,,,,,,,Analitical,
asahi,,anjali,,,,,,,noun,,,,,Agama Buddha,bentuk penghormatan berupa merangkapkan atau mengepalkan kedua telapak tangan di depan dada atau menundukkan kepala,,,,,,,,Analitical,
asetonuria,,antares,,,,,,,noun,,,,,Astronomi,bintang paling terang pada rasi Skorpio,,,,,,,,Analitical,
asi,,antem,yes,2,,/antêm/,,,noun,,acronym,yes,,,antitembam,,,,,,,,Synonym,
assalamualaikum,,antifeminisme,,,,/antifeminismê/,,,noun,,,,,,paham yang menentang feminisme,,,,,,,,Analitical,
astrofilia,,anus,yes,2,,,,,noun,,,,,,"suku bangsa yg berasal dr atau mendiami wilayah Kabupaten Sarmi, Provinsi Papua",,,,,,,,Analitical,
atak,,anus,yes,2,,,,,noun,yes,,,,,bahasa yg dituturkan oleh suku Anus,,,,,,,,Analitical,
atita,,anuttaram puññakkhetam lokassāti,,,,,,,noun,yes,figurative,,Sanskerta,,ajaran agama Buddha bahwa dunia adalah ladang untuk menanam jasa yang tiada taranya bagi semua mahluk hidup (lazim diucapkan pada saat puja bakti),,,,,,,,Analitical,
audio digital,,apan-apan,,,,,,,noun,,,,Jawa,,kayu yang ada pada ani-ani,,-- biasanya terbuat dari kayu jati atau jenis kayu keras lainnya,,,,,,Analitical,
audiofilia,,aparapara vedaniya kamma,,,,,,,noun,yes,figurative,,Sanskerta,,karma yang menghasilkan akibat pada kehidupan berikutnya secara berturut-turut,,,,,,,,Analitical,
auning,,apatate,,,,,,,noun,,,,Yalahatan,,"penjepit yang terbuat dari bambu, biasanya digunakan untuk mengambil bara api, ikan, dan lain-lain",,,,,,,,Analitical,
ave,,apayamuka,,,,,,,noun,,,,,Agama Buddha,"ajaran agama Buddha tentang penyebab keruntuhan kehidupan, yaitu perbuatan asusila, mabuk-mabukan, judi, dan pergaulan dengan orang jahat",,,,,,,,Analitical,
awalembap,,apdenak,,,,/apdênak/,,,noun,,,,,,kegiatan mengotek secara bersama-sama,,,,,,,,Analitical,
awi,,apelium,,,,,,,noun,,,,,Astronomi,jarak terjauh planet bumi terhadap matahari,,,,,,,,Analitical,
ayam kedu putih,,apinan,,,,,,,noun,,,,,,bayi perempuan,,dia baru saja melahirkan -- yang cantik,,,,,,Synonym,
ayam liar,,arahat,,,,,,,noun,,,,,Agama Buddha,tingkat kesucian tertinggi yang membuat seseorang mencapai kesempurnaan dengan melenyapkan samyojana dan tidak akan mengalami kelahiran kembali sebagai makhluk,,,,,,,,Analitical,
ayam seraki,,arama,,,,,,,noun,,,,,Agama Buddha,"rumah ibadah umat Buddha yang lebih besar daripada wihara, memiliki beberapa sarana dan prasarana yang lengkap",,,,,,,,Analitical,
Az-Zumar,,ardang,,,,,,,noun,,,,Batak,,sesuatu yang berpindah-pindah tangan tanpa diketahui pemiliknya,,,,,,,,Analitical,
B3,,area hijau,,,area,,,,noun,yes,,,,,"tanah yang tidak tertutup bangunan dan dikhususkan untuk menanam beragam 
tanaman (semak, pepohonan)",,,,,,,,Analitical,
babak,,arena remaja,,,arena,,,,noun,yes,,,,,gelanggang remaja,,,,,,,,Synonym,
babantar,,aridisol,,,,,,,noun,,,,,Geografi dan Geologi,tanah kering yang terbentuk di gurun dan semigurun,,,,,,,,Analitical,
Babil,,arirang,,,,,,,noun,,,,Batak,,tempat bertautnya buah kelapa pada pohonnya,,,,,,,,Analitical,
Babilonia,,arnis,,,,,,,noun,,,,,,olahraga bela diri dari Filipina yang menggunakan tongkat rotan sebagai senjata,,,,,,,,Analitical,
baby boomer,,arsakal,,,,,,,noun,,,,Sunda,,"upacara menggunting rambut bayi, dilakukan oleh beberapa orang secara bergiliran sambil berdiri dan melantunkan selawat",,upacara -- dilaksanakan tujuh hari setelah kelahiran bayi,,,,,,Analitical,
baganjin,,aru-aru,yes,2,,,,,noun,,,,Kulisusu,,sayur bersantan yang dibuat dari labu tua,,,,,,,,Analitical,
bagelen basah,,arus rabak,,,arus,,,,noun,yes,,,,,arus balik,,,,,,,,Synonym,
bahan hayati,,arus tidal,,,arus,,,,noun,yes,,,,,"arus berlawanan yang menggunakan sebagian lajur pada jalur, merupakan rekayasa lalu lintas untuk mengatasi peningkatan volume kendaraan saat mudik atau jam sibuk",,,,,,,,Analitical,
bahasa generasi kedua,,asada,,,,,,,noun,,,,,Agama Buddha,hari raya umat Buddha yang jatuh pada bulan Asada saat purnama sidi untuk memperingati khotbah pertama Buddha,,,,,,,,Analitical,
bahasa generasi pertama,,asada,,,,,,,noun,yes,,,,,bulan ke-7 tahun tahun Buddhis (bulan Juni--Juli tahun Masehi),,,,,,,,Analitical,
bahasa kebun binatang,,asahehe,,,,,,,noun,,,,Luhu,,"tradisi pembongkaran sebagian atap pada rumah adat sebelum dibongkar secara keseluruhan di Desa Boano Utara (dalam rangka pemugaran rumah adat yang telah berusia 20—30 tahun, setiap matarumah memiliki rumah adat)",,"sebelum bongkar atap secara keseluruhan, dilakukan -- terlebih dahulu",,,,,,Analitical,
bahasa liturgis,,asahi,,,,,,,noun,,,,Bacan,,"penganan yang terbuat dari ubi jalar, dicampur dengan tepung terigu dan pewarna makanan, kemudian dibakar",,,,,,,,Analitical,
bahu membahu,,asetonuria,,,,,,,noun,,,,,Kedokteran dan Fisiologi,kelebihan aseton dalam urin,,,,,,,,Analitical,
baju luar,,asi,yes,5,,,,,noun,,,,Sentani,,kata sapaan atau panggilan kepada kakek oleh cucu dari anak perempuan,,,,,,,,Analitical,
BAK,,asi,yes,5,,,,,verb,,,,Kulisusu,,merasa disayang,,adik -- oleh kakak karena dibelikan hadiah,,,,,,Synonym,
Bakorstanas,,assalamualaikum,,,,,,,noun,yes,,,,,→ asalamualaikum,,,,,,,,Cross-reference,
bakso telur,,astrofili,,,,,,,noun,,,,,,orang yang sangat mencintai benda-benda langit,,,,,,,,Analitical,
bakwan jagung,,astrofilia,,,,,,,noun,,,,,,kecintaan pada benda-benda langit,,,,,,,,Analitical,
balak,,atak,yes,3,,,,,noun,,,,Bahau,,sungai yang airnya tidak jernih atau keruh,,,,,,,,Analitical,
balaon,,atita,,,,,,,noun,,,,Sanskerta,,masa lampau; masa lalu,,,,,,,,Synonym,
bale-bale,,audio digital,,,audio,,,,noun,yes,,,,,"data audio yang disimpan, diproses, dan ditransmisikan secara digital",,,,,,,,Analitical,
bale-bale,,audiofilia,,,,,,,noun,,,,,,kecintaan pada suara rekaman yang diproduksi dengan tingkat fidelitas tinggi,,,,,,,,Analitical,
baletikuang,,auning,,,,,,,noun,,,,,Arsitektur,"kanopi kain yang dipasang pada dinding teras, jendela, balkon dan sebagainya bertujuan untuk melindungi area tertentu dari hujan dan panas matahari",,,,,,,,Analitical,
bali,,ave,,,,,,,noun,,,,Benuaq,,mata pisau,,,,,,,,Synonym,
balu,,awalembap,,,,/awalêmbap/,,,adjective,,,,,,berkurang kelembapannya,,,,pengawalembap,,,,Analitical,
baluse,,awi,,,,,,,noun,,,,Kimaam,,"hiasan kepala laki-laki, terbuat dari bulu burung kasuari",,,,,,,,Analitical,
bandang,,ayam kedu putih,,,ayam,,,,noun,yes,,,,,"ayam kedu berbulu putih polos, berjengger merah terang, berparuh putih, kuning, atau kehitaman",〔Gallus domesticus〕,,,,,,,Analitical,
bandar judi,,ayam liar,,,ayam,,,,noun,yes,,,,,"ayam yang habitatnya di hutan, seperti ayam hutan hijau dan ayam hutan merah",〔Gallus spp.〕,,,,,,,Analitical,
Bandung Barat,,ayam seraki,,,ayam,,,,noun,yes,,,,,makanan khas Banten berbahan dasar ayam yang dimasak dengan rempah-rempah dan santan,,,,,,,,Analitical,
bandungan,,az-zumar,,,,,,,noun,,,,,Agama Islam,surah ke-39 dalam Al-Qur'an,,,,,,,,Analitical,
bangkala,,b3,,,,,,,noun,,abbreviation,,,,"bahan berbahaya dan beracun (zat, energi, dan/atau komponen lain yang dapat mencemarkan, merusak, dan/atau membahayakan lingkungan hidup, kesehatan, serta kelangsungan hidup manusia dan makhluk hidup lain secara langsung maupun tidak langsung)",,,,,,,,Analitical,
barucut,,babak,yes,5,,,,,verb,,,,Melayu Kalimantan,,membuka dari bawah ke atas,,,,,,,,Analitical,
basa-basi,,babantar,,,,,,,noun,,,,Sunda,,bagian dari sungai dengan air yang sedikit atau dangkal,,,,,,,,Analitical,
batil,,babil,yes,2,,,,,noun,,,,,,Babilonia,,,,,,,,Synonym,
baut atap,,babilonia,,,,,,,noun,,,,,,"kota kuno yang terletak di sebelah selatan Mesopotamia (sekarang Irak), di wilayah Sumeria dan Akkadia, berada di tepian sungai Efrat",,,,,,,,Analitical,
bawak,,baby boomer,,,,,,,noun,yes,figurative,,Inggris,,"orang yang lahir pada pertengahan 1940--1960, diasosiasikan dengan masa ledakan penduduk setelah terjadinya perang dunia kedua di barat",,,,,,,,Analitical,
bayar-membayar,,bades,,,,/badês/,,,noun,,,,Bali,,biang keringat,,,,,,,,Synonym,
bazar amal,,baganjin,,,,,,,noun,,,,Jawa,,bangunan yang ada di tempat yang dikeramatkan atau dianggap suci,,,,,,,,Analitical,
bea balik nama,,bagelen basah,,,bagelen,,,,noun,yes,,,,,bagelen dengan tekstur yang lembut seperti roti manis pada umumnya,,,,,,,,Analitical,
bebecek,,bahan hayati,,,bahan (2),,,,noun,yes,,,,,biomaterial,,,,,,,,Synonym,
bedah mayat anatomis,,bahasa generasi kedua,,,bahasa (1),,,,noun,yes,,,,Komputer,"bahasa pemrograman yang terkait dengan bahasa rakit, dapat ditulis secara simbolik (mnemonik) dengan cara yang dapat dipahami manusia dan kemudian diubah menjadi bahasa mesin oleh perakit",,,,,,,,Analitical,
bedah ortognatik,,bahasa generasi pertama,,,bahasa (1),,,,noun,yes,,,,Komputer,bahasa pemrograman berupa bahasa tingkat mesin yang dirancang untuk berjalan pada prosesor komputer generasi pertama,,,,,,,,Analitical,
bedah sesar,,bahasa kebun binatang,,,bahasa (1),,,,noun,yes,,yes,,,umpatan berupa nama binatang,,,,,,,,Analitical,
bedak,,bahasa liturgis,,,bahasa (1),,,,noun,yes,,,,,"bahasa yang dipelihara dan digunakan terutama untuk kepentingan agama oleh penganutnya, misalnya bahasa Pali dan Sanskerta oleh umat Buddha atau bahasa Arab oleh umat Islam",,,,,,,,Analitical,
bedak mayat,,bahu membahu,,,bahu (1),,,,verb,yes,,,,,→ bahu-membahu,,,,,,,,Cross-reference,
bejo,,bai,,,,,,,adjective,,,,Kulisusu,,kering sekali,,ikan itu dijemur hingga --,,,,,,Synonym,
bekekok,,baing,,,,,,,noun,,,,Batak,,tahi lalat yang berbulu,,,,,,,,Analitical,
belavukan,,baju benian,,,baju,,,,noun,yes,,,,,baju belah benian,,,,,,,,Analitical,
belawing,,baju luar,,,baju,,,,noun,yes,,,,,baju yang dipakai di luar baju lain sebagai pelapis,,,,,,,,Analitical,
beperhiasan,,bak,yes,2,,,,,noun,,abbreviation,,,,Biro Administrasi Keuangan (unsur pelaksana administrasi keuangan di perguruan tinggi),,,,,,,,Abbreviation Expansion,Analitical
beraneka jenis,,bakhor,,,,,,,noun,,acronym,,,,tembakan kehormatan,,pemakaman pahlawan didahului dengan -- oleh sejumlah prajurit,,,,,,Abbreviation Expansion,
berbalasan,,bakorstanas,,,,,,,noun,,abbreviation,,,,"Badan Koordinasi Bantuan Pemantapan Stabilitas Nasional (lembaga pemerintah nonkementerian pada tahun 1988—2000 yang bertugas mengoordinasikan upaya lembaga pemerintah lainnya dalam rangka pemulihan, pemeliharaan, dan pemantapan stabilitas nasional dari berbagai hambatan, tantangan, ancaman dan gangguan serta bertanggung jawab kepada presiden)",,,,,,,,Abbreviation Expansion,Analitical
berdana,,bakso telur,,,bakso,,,,noun,yes,,,,,bakso berukuran besar berisi telur rebus,,,,,,,,Analitical,
berdentur,,bakwan jagung,,,bakwan,,,,noun,yes,,,,,bakwan dengan jagung sebagai sayuran utamanya,,,,,,,,Analitical,
berderuk-deruk,,bala,yes,5,,,,,noun,,,,,,kelapa muda yang dagingnya sudah mulai mengeras,,,,,,,,Analitical,
berderung,,bala-bala,,,,,,,noun,,,,Sunda,,bakwan,,,,,,,,Synonym,
berderup,,balabar,,,,,,,noun,,,,Sunda,,pagar sementara terbuat dari bambu atau tanaman untuk membatasi lahan atau tanah sampai dibangun,,,,,,,,Analitical,
berdeting,,balak,yes,5,,,,,noun,,,,Batak,,kotoran pada kulup penis,,,,,,,,Analitical,
berdetus-detus,,balaon,,,,,,,noun,,,,,,"air panas, biasanya untuk membuat teh, kopi, dan lain-lain",,,,,,,,Analitical,
berempah,,bale-bale,yes,2,,,,,noun,yes,,,,,→ balai-balai,,,,,,,,Cross-reference,
berempuh-rempuh,,baletikuang,,,,,,,noun,,,,Minahasa Tonsawang,,"pengadilan tradisional berbentuk rumah panggung bertangga jungkat-jungkit, memiliki satu tiang tengah, digunakan untuk memutuskan perkara yang dihadapi oleh masyarakat",,dahulu -- sering digunakan sebelum hukum pemerintah mulai diberlakukan,,,,,,Analitical,
bergenggaman,,bali,yes,3,,,,,noun,,,,Gorontalo,,kata sapaan atau panggilan kepada laki-laki yang sudah beristri,,,,,,,,Analitical,
bersepit,,balu,yes,4,,,,,noun,,,,Jawa,,"pelampung yang terbuat dari bahan plastik atau gabus, diikatkan pada pinggiran jaring agar tidak tenggelam",,jumlah -- disesuaikan dengan ukuran jaring yang ada,,,,,,Analitical,
bertanggungjawab,,baluse,,,,/balusê/,,,noun,,,,Nias,,perisai perang masyarakat Nias,,,,,,,,Analitical,
bikoang,,bandang,yes,5,,,,,noun,,,,,,"palem yang tingginya mencapai 12 m, pangkal batang daunnya menyilang, buah berbentuk bulat dengan beberapa sisi agak menyudut, tertutup tempurung tebal dan keras, daunnya digunakan untuk membuat sapu, serta buah dan batang mudanya untuk dikonsumsi, tumbuh secara alami di hutan Kalimantan",〔Borassodendron borneense〕,,,,,,,Analitical,Encyclopedic
bikuni,,bandar judi,,,bandar (3),,,,noun,yes,,,,,orang yang menyelenggarakan perjudian,,,,,,,,Analitical,
bilangan riil,,bandung barat,,,Bandung (4),,,,noun,yes,,,,,"kabupaten di Provinsi Jawa Barat, beribu kota Ngamprah",,,,,,,,Analitical,
bilik manikur,,bandungan,,,,/bandungan/,,,noun,,,,Jawa,,upacara suku Tengger berupa pelepasan miniatur perahu berisi tumpeng ke laut lepas sebagai bentuk syukur kepada Tuhan,,,,,,,,Analitical,
biodemografi,,bangkala,,,,,,,noun,,,,,,subang yang terbuat dari emas atau perak,,,,,,,,Analitical,
ble,,bangkeh,yes,2,,,,,noun,,,,Minangkabau,,penjahat yang telah terkenal,,,,,,,,Analitical,
BMD,,bangkelung,,,,/bangkêlung/,,,noun,,,,Sunda,,tangkai sirih,,,,,,,,Synonym,
BMN,,bangui,,,,,,,noun,,,,,,ibu kota Afrika Tengah,,,,,,,,Analitical,
Bobat,,banteh,,,,/bantêh/,,,noun,,,,Bali,,radang atau bengkak pada luka atau cedera lama yang tidak dirawat,,luka kakinya -- sehingga harus dirawat  di rumah sakit,,,,,,Analitical,
boitan,,banyois,,,,,,,noun,,,,,Musik,orang yang ahli memainkan banyo; pemain banyo,,,,,,,,Analitical,Synonym
bolonta,,baris berbaris,,,baris,,,,noun,yes,,,,,→ baris-berbaris,,,,,,,,Cross-reference,
bolot,,barucut,,,,,,,noun,,,,Sunda,,kulit buah-buahan yang tidak rata dan benjol-benjol karena hama,,,,,,,,Analitical,
borak-borak,,basa-basi,yes,2,,,,,noun,,,,,,"trompet khas Sulawesi Selatan, terbuat dari bambu yang dipasang rangkap",,,,,,,,Analitical,
bosi,,batara guru,,,,,,,noun,,,,,Agama Hindu,Dewa Syiwa,,,,,,,,Synonym,
bubusi,,batil,yes,4,,,,,noun,,,,Batak,,bak kecil tempat memasak candu,,,,,,,,Analitical,
budel,,baut atap,,,baut,,,,noun,yes,,,,,"baut yang digunakan dalam konstruksi atap untuk memperkuat strukturnya agar dapat menahan beban berat dari material atap dan beban lain, dipasang melalui pengeboran lebih dahulu",,,,,,,,Analitical,
BUKU,,bawak,yes,2,,,,,noun,,,,Sunda,,pacul yang melebar di bagian ujungnya,,,,,,,,Analitical,
buku komunikasi,,bayar-membayar,,,bayar,,,,noun,,,,,,perihal membayar,,,,,,,,Analitical,
bukut,,bazar amal,,,bazar,,,,noun,yes,,,,,pasar amal,,,,,,,,Synonym,
Bulan Sabit Merah,,bea balik nama,,,bea,,,,noun,yes,,,,,biaya yang diperlukan untuk mengganti nama kepemilikan tanah dan kendaraan,,,,,,,,Analitical,
bulansing,,bebecek,,,,,,,noun,,,,Sunda,,bagian dari sawah yang dijadikan persemaian benih padi,,,,,,,,Analitical,
buling,,bedah mayat anatomis,,,bedah (1),,,,verb,yes,,,,Kedokteran dan Fisiologi,bedah mayat untuk keperluan pendidikan di bidang ilmu kedokteran,,,,,,,,Analitical,
buluh peleting,,bedah ortognatik,,,bedah (1),,,,verb,yes,,,,Kedokteran dan Fisiologi,bedah yang dilakukan untuk memperbaiki posisi tulang rahang yang tidak normal,,,,,,,,Analitical,
bumbu dapur,,bedah sesar,,,bedah (1),,,,verb,yes,,,,Kedokteran dan Fisiologi,seksio sesaria,,,,,,,,Synonym,
bundanco,,bedak,,,,,,,noun,,,,Bugis,,"penganan yang terbuat dari tepung beras mentah dicampur gula merah, lazim dibuat pada acara memasuki rumah baru",,,,,,,,Analitical,
bungkiang,,bedak mayat,,,bedak,,,,verb,yes,,yes,,,heroin,,,,,,,,Synonym,
bungkus tubuh,,bedak setan,,,bedak,,,,verb,yes,,yes,,,heroin,,,,,,,,Synonym,
